iter	Logloss
0	0.521011357
1	0.441323218
2	0.3736828157
3	0.3338664202
4	0.3047054316
5	0.2840805159
6	0.2698421699
7	0.2595650998
8	0.2541958558
9	0.2500489567
10	0.2449758942
11	0.2409427201
12	0.2327718055
13	0.2306223857
14	0.2282471261
15	0.2252660328
16	0.2238473994
17	0.2224658458
18	0.2207993456
19	0.2195933173
20	0.2181612755
21	0.2156539697
22	0.214253859
23	0.2130226319
24	0.2122589848
25	0.2114330916
26	0.2111404649
27	0.2099977741
28	0.2084173581
29	0.206771765
30	0.2060472214
31	0.2048494663
32	0.2040014872
33	0.203717607
34	0.2019233738
35	0.2009200713
36	0.200268516
37	0.1990680899
38	0.1977210211
39	0.1969367729
40	0.1960540869
41	0.1950632338
42	0.1944610799
43	0.1939730265
44	0.1933377091
45	0.1928172527
46	0.1920162181
47	0.1910959931
48	0.1902681087
49	0.1886284858
50	0.1879977323
51	0.1868865002
52	0.1859208397
53	0.1851103772
54	0.1842316349
55	0.1832644873
56	0.1822200635
57	0.181366608
58	0.1801526285
59	0.1787907559
60	0.1778719859
61	0.1768180707
62	0.1760386339
63	0.1752212568
64	0.1750245819
65	0.1747595431
66	0.1742476448
67	0.1740684662
68	0.1736701024
69	0.1731055183
70	0.1724709628
71	0.1721103489
72	0.1716407173
73	0.1711718639
74	0.1709805784
75	0.1702252754
76	0.1693332705
77	0.1686277075
78	0.1678199283
79	0.1677098364
80	0.1672735651
81	0.1667857867
82	0.1663781397
83	0.1659490325
84	0.1655676285
85	0.1650487928
86	0.1642055439
87	0.1639378095
88	0.1630628709
89	0.1621741528
90	0.161518453
91	0.1612348409
92	0.1599034671
93	0.1595677715
94	0.1587599058
95	0.1577485051
96	0.1572589148
97	0.1567630614
98	0.1563810532
99	0.1552621479
100	0.1547385044
101	0.154180019
102	0.1535621203
103	0.1532165959
104	0.1525502504
105	0.1520522142
106	0.1515643357
107	0.1507451843
108	0.1503310908
109	0.1500169066
110	0.1495106522
111	0.1491333243
112	0.1481923038
113	0.1471724162
114	0.1466803959
115	0.1462688544
116	0.1461054989
117	0.1459354636
118	0.1454766348
119	0.1441833254
120	0.1437596442
121	0.1430354348
122	0.1424618528
123	0.1415314506
124	0.1412279767
125	0.1407705095
126	0.140301823
127	0.1402233317
128	0.1394204632
129	0.1392402019
130	0.1386933768
131	0.1384178145
132	0.1381278888
133	0.1377295473
134	0.1368807195
135	0.1367115991
136	0.1358168336
137	0.1355963861
138	0.1353554096
139	0.1350458936
140	0.1342804049
141	0.1339583536
142	0.133452463
143	0.1331639086
144	0.1325092475
145	0.1319034491
146	0.131470611
147	0.1312686427
148	0.1308696032
149	0.1301763523
150	0.1295684145
151	0.1293444174
152	0.1290806922
153	0.1289534112
154	0.128149115
155	0.1279739496
156	0.1272891238
157	0.1267313017
158	0.1264579806
159	0.1262529448
160	0.125891226
161	0.1256993837
162	0.1252375341
163	0.1250340608
164	0.124689996
165	0.1241824646
166	0.1233532533
167	0.123069532
168	0.1222952247
169	0.1220754988
170	0.1218396869
171	0.1214372011
172	0.1210478704
173	0.1209581062
174	0.1204486423
175	0.1202937946
176	0.1199169965
177	0.1190513405
178	0.1185322632
179	0.1179476764
180	0.1177719543
181	0.1174763905
182	0.11709359
183	0.1169859684
184	0.1167178142
185	0.1164748445
186	0.1162704347
187	0.115928725
188	0.1156916018
189	0.1150309856
190	0.1147201926
191	0.1144667901
192	0.1142045494
193	0.11405762
194	0.1137260699
195	0.1134980404
196	0.1129403268
197	0.1124646355
198	0.1121963577
199	0.1121395694
200	0.1120716144
201	0.1118315422
202	0.1114608466
203	0.1113079117
204	0.1106618171
205	0.1104274383
206	0.10999275
207	0.1097438359
208	0.1095287895
209	0.1089315208
210	0.1086755521
211	0.1082161604
212	0.1080232379
213	0.1078958356
214	0.1074504063
215	0.1069282872
216	0.1067286132
217	0.1064345122
218	0.1058544428
219	0.1055590486
220	0.1053549235
221	0.1050309383
222	0.1049134587
223	0.1046465489
224	0.1043581198
225	0.1041537802
226	0.1037288922
227	0.1032577792
228	0.1029870797
229	0.1028921512
230	0.1024776372
231	0.1022662378
232	0.1020929378
233	0.101858657
234	0.101142698
235	0.1009902351
236	0.1006275429
237	0.1005141311
238	0.1004208418
239	0.1001047499
240	0.09984095652
241	0.09951300125
242	0.09946469284
243	0.09927973741
244	0.09915038086
245	0.09902165871
246	0.09875671255
247	0.09866021707
248	0.09861459965
249	0.09822343346
250	0.09787342266
251	0.09730970589
252	0.09691127238
253	0.09667485998
254	0.09647078364
255	0.09627310669
256	0.09578181698
257	0.0955820541
258	0.09545520673
259	0.0952498269
260	0.0950131058
261	0.09498425386
262	0.09471709367
263	0.09465260802
264	0.09428819764
265	0.09406007602
266	0.09397554606
267	0.09393532614
268	0.09371675939
269	0.09363182737
270	0.09301654362
271	0.09284176981
272	0.092669193
273	0.0924875143
274	0.09228786593
275	0.09215761234
276	0.09190090491
277	0.09176431484
278	0.09171308569
279	0.09163254674
280	0.09127251807
281	0.09117231685
282	0.09098416515
283	0.0906242153
284	0.09051893623
285	0.09031760971
286	0.09007608385
287	0.0899031881
288	0.08977857699
289	0.08960212018
290	0.08944550629
291	0.08907653123
292	0.08893462603
293	0.08872963156
294	0.08854016424
295	0.08804494171
296	0.08780598201
297	0.08766762898
298	0.08758504839
299	0.08740095335
300	0.08709036612
301	0.08693338004
302	0.08659862281
303	0.08634895218
304	0.08619242693
305	0.08602065968
306	0.08590399468
307	0.08577678364
308	0.08550693802
309	0.08519647933
310	0.08511164208
311	0.08486085143
312	0.08471392168
313	0.08466342235
314	0.0845209746
315	0.08409102246
316	0.08389308301
317	0.08377684571
318	0.08374163477
319	0.08343480103
320	0.08339295611
321	0.08237528156
322	0.08225806892
323	0.08205736933
324	0.0817607687
325	0.0814202665
326	0.08127916331
327	0.08093564866
328	0.08079115574
329	0.08071727102
330	0.08025580361
331	0.08004522615
332	0.07987926772
333	0.07980507838
334	0.0797431309
335	0.07944679944
336	0.07941196855
337	0.07923904798
338	0.07904558273
339	0.07859479764
340	0.07812335704
341	0.0778929231
342	0.07756474054
343	0.07750435684
344	0.0772884891
345	0.07712988798
346	0.07693216315
347	0.07679827177
348	0.07652060628
349	0.07627619637
350	0.07614383075
351	0.07591904534
352	0.07556281081
353	0.07546699059
354	0.07480319081
355	0.07431525782
356	0.07416732902
357	0.07405429461
358	0.07361220369
359	0.07352546684
360	0.07334659341
361	0.07271897277
362	0.07255896254
363	0.07235021778
364	0.07174117089
365	0.07160923289
366	0.07126600286
367	0.07112226325
